title,authors,categories,average_rating
Lady Friday,Garth Nix,Juvenile Fiction,"3,92"
Thetale of Despereaux,Kate DiCamillo,Fairy tales,"4,03"
Inkheart,Cornelia Caroline Funke,Juvenile Fiction,"3,87"
"Where We Are, what We See",David Levithan,Juvenile Nonfiction,"3,73"
Sunny the Yellow Fairy,Daisy Meadows,Juvenile Fiction,"3,83"
Sky the Blue Fairy,Daisy Meadows;Georgie Ripper,Juvenile Fiction,"3,83"
Inky the Indigo Fairy,Daisy Meadows,Juvenile Fiction,"3,79"
Heather the Violet Fairy,Daisy Meadows,Juvenile Fiction,"3,85"
Fourth of July mice,Bethany Roberts,Music,"3,23"
Harry Potter and the Half-Blood Prince (Book 6),"Rowling, J.K.",Juvenile Fiction,"4,56"
Your Best Friend's Boyfriend,J. E. Bright,Juvenile Fiction,"3,35"
The Case of the Snowboarding Superstar,James Preller,Juvenile Fiction,"3,97"
Thorn in Her Side,Jane B. Mason;Sarah Hines-Stephens,Juvenile Fiction,"3,87"
Gothic!,Deborah Noyes,Horror stories,"3,55"
A break with charity,Ann Rinaldi,Trials (Witchcraft),"3,79"
Runny Babbit,Shel Silverstein,"Children's poetry, American","4,12"
The Harry Potter Collection,J. K. Rowling,Juvenile Fiction,"4,73"
No Accident,Emily Blake,Juvenile Fiction,"4,17"
The Abduction,Gordon Korman,Juvenile Fiction,"3,99"
The Rescue,Gordon Korman,Juvenile Fiction,"4,11"
Mister Monday,Garth Nix,Juvenile Fiction,"3,78"
Ghosthunters and the Muddy Monster of Doom!,Cornelia Caroline Funke,Ghost stories,"3,92"
The Trouble with Violet,Anne Mazer,Juvenile Fiction,"3,9"
Violet Makes a Splash,Anne Mazer,Juvenile Fiction,"3,95"
Guardians of Ga'hoole,Kathryn Lasky,Juvenile Fiction,"4,25"
This is Push,David Levithan,Juvenile Fiction,"3,62"
The Case of the Kidnapped Candy,James Preller,Juvenile Fiction,"3,74"
Awakening,Robin Wasserman,Juvenile Fiction,"3,95"
Betrayal,Robin Wasserman,Juvenile Fiction,"3,97"
Hello! Is That Grandma?,Ian Whybrow;Deborah Allwright,Children's stories,"3,51"
Savage Stone Age Sticker Book,Terry Deary;Martin Brown,Stone age,4
Trickster's Choice,Tamora Pierce,Alanna (Fictitious character : Pierce),"4,28"
Northern Lights,Philip Pullman,Arctic regions,"3,96"
His Dark Materials,Philip Pullman,"Children's stories, English","4,26"
Mary Queen of Scots and Her Hopeless Husbands,Margaret Simpson,Queens,"3,68"
The New Centurions,Joseph Wambaugh,Fiction,"3,93"
A Pinch of Snuff,Reginald Hill,Fiction,"3,85"
Suffer the Children,John Saul,Fiction,"3,91"
Tai-Pan,James Clavell,Fiction,"4,27"
Tinsel,William Goldman,Fiction,"3,18"
Serenissima,Erica Jong,Fiction,"3,26"
An Acceptable Time,Madeleine L'Engle,Juvenile Fiction,"3,82"
Drawing Blood,Poppy Z. Brite,Fiction,"4,03"
The Blue Knight,Joseph Wambaugh,Los Angeles (Calif.),"3,88"
Gai-Jin,James Clavell,Fiction,"3,86"
Drop Shot,Harlan Coben,Fiction,"3,93"
The Fiery Cross,Diana Gabaldon,Fiction,"4,27"
Purple Cane Road,James Lee Burke,Fiction,"4,15"
Number the Stars,Lois Lowry,Juvenile Fiction,"4,13"
Many Waters,Madeleine L'Engle,Juvenile Fiction,"3,99"
Demon in My View,Amelia Atwater-Rhodes,Juvenile Fiction,"4,04"
The Cricket in Times Square,George Selden,Juvenile Fiction,"4,02"
Skellig,David Almond,Juvenile Fiction,"3,79"
The Cay,Theodore Taylor,Juvenile Fiction,"3,75"
Flags Of Our Fathers,James Bradley,Juvenile Fiction,"4,17"
For All Time,Caroline B. Cooney,Juvenile Fiction,"3,91"
How Angel Peterson Got His Name,Gary Paulsen,Juvenile Nonfiction,"3,93"
Shattered Mirror,Amelia Atwater-Rhodes,Juvenile Fiction,"4,03"
The Testament,John Grisham,Fiction,"3,85"
The Smoke Jumper,Nicholas Evans,Fiction,"4,06"
Gone for Good,Harlan Coben,Fiction,"4,11"
The Coalwood Way,Homer H. Hickam,Biography & Autobiography,"4,13"
Midnight Predator,Amelia Atwater-Rhodes,Juvenile Fiction,"4,02"
The Subtle Knife,Philip Pullman,Juvenile Fiction,"4,12"
Quiver,Stephanie Spinner,Juvenile Fiction,"3,51"
His Dark Materials,Philip Pullman,Fiction,"4,26"
Slightly Wicked,Mary Balogh,Fiction,4
The Rule of Four,Ian Caldwell;Dustin Thomason,Fiction,"3,22"
Shopaholic Ties the Knot,Sophie Kinsella,Fiction,"3,77"
Outlander,Diana Gabaldon,Fiction,"4,22"
The Gilded Web,Mary Balogh,Fiction,"3,58"
Blessings,Belva Plain,Fiction,"3,91"
18 Best Stories,Edgar Allan Poe,Fiction,"4,02"
My Name is Aram,William Saroyan,Fiction,"4,15"
The Turn of the Screw and Daisy Miller,Henry James,Popular literature,"3,62"
Anastasia on Her Own,Lois Lowry,Juvenile Fiction,"3,89"
Escape from Fire Mountain,Gary Paulsen,Juvenile Fiction,"3,7"
The Children on the Top Floor,Noel Streatfeild,Television,"3,78"
Make Four Million Dollars by Next Thursday!,Stephen Manes,Juvenile Fiction,"3,7"
"See You Around, Sam!",Lois Lowry,Juvenile Fiction,"3,68"
Stay!,Lois Lowry,Juvenile Fiction,"3,92"
Summer of the Monkeys,Wilson Rawls,Juvenile Fiction,"4,03"
Stargirl,Jerry Spinelli,Juvenile Fiction,"3,76"
Harriet Spies Again,Helen Ericson;Louise Fitzhugh,Juvenile Fiction,"3,83"
The Boys Start the War,Phyllis Reynolds Naylor,Juvenile Fiction,"4,02"
Vincent Van Gogh,Jan Greenberg;Sandra Jane Jordan,Juvenile Nonfiction,"3,95"
The Orange Trees of Versailles,Annie Pietri,Juvenile Fiction,"3,77"
Tucket's Travels,Gary Paulsen,Juvenile Fiction,"4,43"
The Silent Boy,Lois Lowry,Juvenile Fiction,"3,72"
The Pizza Monster,Marjorie Weinman Sharmat;Mitchell Sharmat,Juvenile Fiction,"3,55"
The Sly Spy,Marjorie Weinman Sharmat,Juvenile Fiction,"3,79"
The Green Toenails Gang,Marjorie Weinman Sharmat,Juvenile Fiction,"3,74"
Hoot,Carl Hiaasen,Bullying,"3,82"
War Comes to Willy Freeman,James Lincoln Collier,Juvenile Fiction,"3,6"
A Wrinkle in Time,Madeleine L'Engle,Juvenile Fiction,"4,01"
Masks of the Illuminati,Robert Anton Wilson,Fiction,4
"I'm Good Enough, I'm Smart Enough, and Doggone It, People Like Me!",Al Franken;Stuart Smalley,Humor,"3,8"
Your Eight Year Old,Louise Bates Ames;Carol Chase Haber,Family & Relationships,"3,88"
Charlotte sometimes,Penelope Farmer;Eleanor Cameron,Fiction,"4,09"
Roald Dahl's James and the giant peach,Roald Dahl,Drama,"4,04"
Beowulf,Robert Nye,Fiction,"3,49"
A Ring of Endless Light,Madeleine L'Engle,Death,"4,15"
A House Like a Lotus,Madeleine L'Engle,Adolescence,"3,76"
Thursday's Children,Rumer Godden,Juvenile Fiction,"4,27"
Starplex,Robert J. Sawyer,Fiction,"3,83"
Tramp Royale,Robert Anson Heinlein,Biography & Autobiography,"3,7"
The Hero and the Crown,Robin McKinley,Fiction,"4,21"
Rose Daughter,Robin McKinley,Juvenile Fiction,"3,77"
Riddle-master,Patricia A. McKillip,Fiction,"4,22"
The Mirror of Merlin,T. A. Barron,Fiction,"4,06"
The Lost Years of Merlin,T. A. Barron,Fiction,"3,98"
Neuromancer,William Gibson,Fiction,"3,89"
Conqueror's Moon,Julian May,Fiction,"3,33"
Rocket Ship Galileo,Robert Anson Heinlein,Fiction,"3,71"
Deerskin,Robin McKinley,Fiction,"3,89"
Camouflage,Joe W. Haldeman,Fiction,"3,63"
Dragon's Treasure,Elizabeth A. Lynn,Fiction,"3,53"
The Rosetta Codex,Richard Paul Russo,Fiction,"3,23"
Old Twentieth,Joe Haldeman,Fiction,"3,53"
Count Zero,William Gibson,Fiction,"4,01"
The God in the Moon,Richard A. Knaak,Fiction,"3,72"
Harrowing the Dragon,Patricia A. McKillip,Fiction,"3,94"
The Eye of Charon,Richard A. Knaak,Fiction,"3,88"
Cygnet,Patricia A. McKillip,Fiction,"4,08"
Magic Bites,Ilona Andrews,Fiction,"4,07"
The Castle of the Silver Wheel,Teresa Edgerton,Fiction,"3,99"
Chapterhouse: Dune,Frank Herbert,Fiction,"3,9"
Betcha Can't Read Just One,Alan Dean Foster,Fiction,"3,88"
Hard Sell,Piers Anthony,Fiction,"3,39"
Killobyte,Piers Anthony,Fiction,"3,55"
Madouc,Jack Vance,Fiction,"4,15"
The Moon in Hiding,Teresa Edgerton,Fiction,4
The 97th Step,Steve Perry,Fiction,"4,22"
The Omega Cage,Steve Perry;Michael Reaves,Fiction,"3,77"
The Once and Future King,Terence Hanbury White,Fiction,"4,08"
Robot Adept,Piers Anthony,Fiction,"3,78"
To Sail Beyond the Sunset,Robert A. Heinlein,Fiction,"3,87"
Vision of Tarot,Piers Anthony,Fiction,"3,46"
Anesthesiology Review,Ronald J. Faust;Roy F. Cucchiara,Medical,"3,64"
Cast a Yellow Shadow,Ross Thomas,Fiction,"3,95"
Heat,William Goldman,Fiction,"3,38"
Nothing Lasts Forever,Sidney Sheldon,Fiction,"3,83"
Carrion Comfort,Dan Simmons,Fiction,"3,9"
Summer of Night,Dan Simmons,Fiction,"4,02"
Back Bay,William Martin,Fiction,"3,91"
Bare Bones,Stephen King;Tim Underwood,Fiction,"4,16"
Kushiel's Justice,Jacqueline Carey,Fiction,"4,25"
The Celestine Prophecy,James Redfield,Fiction,"3,63"
"Martin Luther King, Jr",Martin Luther Jr King,African Americans,
Ten Things I Wish I'd Known - Before I Went Out into the Real World,Maria Shriver,Self-Help,"3,69"
The Collectors,David Baldacci,Fiction,"4,02"
The Book of the Dead,Douglas J. Preston;Lincoln Child,Fiction,"4,14"
The Everyday Life Bible,Joyce Meyer,Bibles,"4,7"
The Serial Killers Club,Jeff Povey,Fiction,"3,21"
I Like You,Amy Sedaris,Cooking,"3,87"
The Red Gloves Collection,Karen Kingsbury,Fiction,"4,48"
The Coming Economic Collapse,Stephen Leeb;Glen Strathy,Business & Economics,"3,39"
Where There's Smoke,Sandra Brown,Fiction,"3,96"
Season of the Machete,James Patterson,Fiction,"3,24"
Assumed Identity,David Morrell,Fiction,"3,78"
Charade,Sandra Brown,Fiction,"3,93"
Night Train to Memphis,Elizabeth Peters,Fiction,"4,06"
Exclusive,Sandra Brown,Fiction,"3,96"
The Laws of Our Fathers,Scott Turow,Fiction,"3,75"
The Neutronium Alchemist,Peter F. Hamilton,Fiction,"4,33"
Fat Tuesday,Sandra Brown,Fiction,"3,84"
Message in a Bottle,Nicholas Sparks,Fiction,"3,96"
Death of a Gossip,M. C. Beaton,Fiction,"3,72"
Tell Me Your Dreams,Sidney Sheldon,Fiction,"3,95"
Death of an Addict,M. C. Beaton,Fiction,"3,8"
The Wild Swans,Peg Kerr,Fiction,"3,66"
Personal Injuries,Scott Turow,Fiction,"3,85"
Saving Faith,David Baldacci,Fiction,"3,86"
A Highland Christmas,M. C. Beaton,Fiction,"3,86"
The Sky Is Falling,Sidney Sheldon,Fiction,"3,56"
Suzanne's Diary for Nicholas,James Patterson,Fiction,"4,16"
Up Country,Nelson DeMille,Fiction,"4,02"
Reversible Errors,Scott Turow,Fiction,"3,84"
Still Life with Crows,Douglas Preston;Lincoln Child,Fiction,"4,19"
Words of Silk,Sandra Brown,Fiction,"3,55"
3rd Degree,James Patterson;Andrew Gross,Fiction,"4,01"
Kitty and the Midnight Hour,Carrie Vaughn,Fiction,"3,66"
Love Beyond Reason,Sandra Brown,Fiction,"3,64"
The White Wolf's Son,Michael Moorcock,Fiction,"3,86"
The Angel Experiment,James Patterson,Fiction,"4,08"
Best Science Fiction Stories of Clifford D. Simak,Clifford D. Simak,"Science fiction, American","3,94"
Curries Without Worries,Sudha Koul,Cooking,"3,98"
One L,Scott Turow,Law,"3,66"
When the Wind Blows,James Patterson,Fiction,"3,92"
"The Autobiography of Martin Luther King, Jr.",Clayborne Carson,Biography & Autobiography,"4,34"
Hope is the Thing with Feathers,Christopher Cokinos,Nature,"4,21"
Cane River,Lalita Tademy,Fiction,"4,05"
Plum Island,Nelson DeMille,Fiction,"4,04"
Gloriana,Michael Moorcock,Fiction,"3,64"
The War of Art,Steven Pressfield,Self-Help,"4,02"
The Daily Show with Jon Stewart Presents America (The Book) Teacher's Edition,Jon Stewart;The Writers of The Daily Show,Humor,"4,02"
Feynman's Rainbow,Leonard Mlodinow,Science,4
Three Weeks with My Brother,Nicholas Sparks;Micah Sparks,Biography & Autobiography,"4,02"
Sister Freaks,Rebecca St. James,Religion,"4,11"
Strip Tease,Carl Hiaasen,Fiction,"3,84"
The Guardian,Nicholas Sparks,Fiction,"4,15"
True Believer,Nicholas Sparks,Fiction,"3,8"
1st to Die,James Patterson,Fiction,"4,07"
Fear and Loathing,Hunter S. Thompson,Biography & Autobiography,"4,11"
The Black Dahlia,James Ellroy,Fiction,"3,75"
Robert Ludlum's (TM) The Arctic Event,Robert Ludlum;James H. Cobb,Fiction,"4,01"
The Closers,Michael Connelly,Fiction,"4,12"
The Haunted Bridge,Carolyn Keene,Juvenile Fiction,"3,92"
Anne of Avonlea,Lucy Maud Montgomery,Juvenile Fiction,"4,22"
The Mysteries of Sherlock Holmes,Sir Arthur Conan Doyle,Juvenile Fiction,"4,18"
Nancy Drew Starter Set,Carolyn Keene,Juvenile Fiction,"4,25"
Lara's Leap of Faith,Alexandra Moss,Juvenile Fiction,"4,06"
Who Was John F. Kennedy?,Yona Zeldis McDonough;Jill Weber,Juvenile Nonfiction,"4,19"
Isabelle's Perfect Performance,Alexandra Moss,Juvenile Fiction,"4,05"
Boys Or Ballet?,Alexandra Moss,Juvenile Fiction,"3,86"
Who Was Anne Frank?,Ann Abramson,Juvenile Nonfiction,"4,26"
In the Beginning,Chaim Potok,Fiction,"4,08"
The Gift of Asher Lev,Chaim Potok,Fiction,"4,15"
Wartime Lies,Louis Begley,Fiction,"3,7"
Naked Came the Manatee,Carl Hiaasen;Dave Barry;Elmore Leonard,Fiction,"3,49"
Murder in Foggy Bottom,Margaret Truman,Fiction,"3,7"
Your Oasis on Flame Lake,Lorna Landvik,Fiction,"3,59"
The Bride Finder,Susan Carroll,Fiction,"3,81"
A Thread of Grace,Mary Doria Russell,Fiction,"4,02"
Children of God,Mary Doria Russell,Fiction,"4,06"
Catching Alice,Clare Naylor,Fiction,"3,35"
A Pirate Looks at Fifty,Jimmy Buffett,Biography & Autobiography,"3,83"
Midnight Voices,John Saul,Fiction,"3,75"
Murder at Ford's Theatre,Margaret Truman,Fiction,"3,72"
The Changeling,Philippa Carr,Fiction,"3,99"
"Lost Boy, Lost Girl",Peter Straub,Fiction,"3,48"
Iberia,James Albert Michener,Literary Criticism,"3,7"
The Bridge at Andau,James A. Michener,Fiction,"3,94"
Drifters,James A. Michener,Fiction,"4,04"
Journey,James A. Michener,Fiction,"3,8"
Driving Force,Dick Francis,Fiction,"3,96"
Darker Than Amber,John D. MacDonald,Fiction,"4,04"
Asylum,John Saul,Fiction,"4,1"
Ice Castles,Leonore Fleischer,Blind,"3,87"
Winter of Magic's Return,Pamela F. Service,Fantasy.,"4,25"
Indian Givers,J. McIver Weatherford,History,"4,12"
The Dragon Doesn't Live Here Anymore,Alan Cohen,"Body, Mind & Spirit","4,27"
The All-true Travels and Adventures of Lidie Newton,Jane Smiley,Fiction,"3,57"
And I Don't Want to Live this Life,Deborah Spungen,Biography & Autobiography,"4,09"
Davita's Harp,Chaim Potok,Fiction,"3,98"
The Tin Can Tree,Anne Tyler,Fiction,"3,6"
Rabbit at Rest,John Updike,Fiction,"3,97"
The Shining,Stephen King,Boys,"4,21"
The Dark Half,Stephen King,English fiction,"3,76"
Nightmares and Dreamscapes,Stephen King,English fiction,"3,93"
"Capitalism, the Unknown Ideal",Ayn Rand;Clarence Belden Randall,Capitalism,"3,87"
Salem's Lot,Stephen King,Fiction,"4,01"
The Dead Zone,Stephen King,Fiction,"3,92"
Fools Die,Mario Puzo,Fiction,"3,71"
I Never Promised You a Rose Garden,Joanne Greenberg,Mental illness,"3,86"
The Gunslinger,Stephen King,Fiction,"3,96"
Cujo,Stephen King,Fiction,"3,7"
For the New Intellectual,Ayn Rand,Literary Collections,"3,68"
The Virtue of Selfishness,Ayn Rand;Nathaniel Branden,Philosophy,"3,5"
The Eyes of the Dragon,Stephen King,Fiction,"3,93"
Skeleton Crew,Stephen King,Fiction,"3,95"
It,Stephen King,Fiction,"4,23"
The Waste Lands,Stephen King,Fiction,"4,24"
The Langoliers,Stephen King,Horror tales,"3,92"
Matters of Choice,Noah Gordon,Fiction,"3,37"
The Bone Collector,Jeffery Deaver,Fiction,"4,19"
Thinner,Stephen King;Richard Bachman,Allegories,"3,7"
Ritual Sins,Anne Stuart,Fiction,"3,69"
The Running Man,Stephen King;Richard Bachman,Fiction,"3,86"
Devil's Embrace,Catherine Coulter,Fiction,"3,8"
The Stranger Beside Me,Ann Rule,True Crime,"4,14"
Trauma,Graham Masterton,Fiction,"3,54"
Dead Sleep,Greg Iles,Fiction,"4,04"
Blessings from the Other Side,Sylvia Browne;Lindsay Harrison,"Body, Mind & Spirit","3,95"
The pillars of the earth,Ken Follett,Fiction,"4,31"
The Love You Make,Peter Brown;Steven S. Gaines,Biography & Autobiography,"4,09"
Trapped,Greg Iles,Fiction,"3,99"
Jackdaws,Ken Follett,Fiction,"3,95"
The Oath,John Lescroart,Fiction,"4,02"
The Key to Rebecca,Ken Follett,Fiction,"3,88"
Black Like Me,John Howard Griffin,Biography & Autobiography,"4,13"
The Man from St. Petersburg,Ken Follett,Fiction,"3,87"
Codebreakers' Victory,Hervie Haufler,History,"4,15"
No Second Chance,Harlan Coben,Fiction,"4,07"
A Case of Need,Michael Crichton,Fiction,"3,7"
The Drawing of the Three,Stephen King,Fiction,"4,23"
A Whole Lotta Love,Donna Hill;Brenda Jackson;Monica Jackson;Francis Ray,Fiction,"4,46"
Night Over Water,Ken Follett,FICTION,"3,81"
Monkeewrench,P. J. Tracy,Fiction,"4,12"
On Wings of Eagles,Ken Follett,History,"3,93"
The Agony and the Ecstasy,Irving Stone,Fiction,"4,07"
The Innocent,Harlan Coben,Fiction,"3,96"
Dispatch,Bentley Little,Fiction,"3,61"
Dark Lover,J. R. Ward,Fiction,"4,2"
The Godfather,Mario Puzo,Fiction,"4,37"
Black Sunday,Thomas Harris,Fiction,"3,6"
Bitter is the New Black,Jen Lancaster,Biography & Autobiography,"3,9"
A Certain Justice,John T. Lescroart,Fiction,4
Lover Eternal,J. R. Ward,Fiction,"4,35"
Promise Me,Harlan Coben,Fiction,"3,98"
Lover Awakened,J. R. Ward,Fiction,"4,45"
Belle Ruin,Martha Grimes,Fiction,"3,51"
What Angels Fear,C. S. Harris,Fiction,"3,89"
The Last Templar,Raymond Khoury,Fiction,"3,6"
The Old Wine Shades,Martha Grimes,Fiction,"3,61"
"Bright Lights, Big Ass",Jen Lancaster,Biography & Autobiography,"4,06"
Angel Christmas,Topaz;Mary Balogh;Emma Merritt;Marilyn Campbell;Patricia Rice;Carole Nelson Douglas,Fiction,"3,56"
Shadow Lover,Anne Stuart,Fiction,"3,8"
The Medusa Stone,Jack Du Brul,Fiction,"4,09"
Pandora's Curse,Jack Du Brul,Fiction,"4,17"
River of Ruin,Jack Du Brul,Fiction,"4,19"
Deep Fire Rising,Jack Du Brul,Fiction,"4,17"
Jerusalem Inn,Martha Grimes,Fiction,"3,96"
Vulcan's Forge,Jack Du Brul,Fiction,"3,99"
Charon's Landing,Jack Du Brul,Fiction,"4,07"
Lover Revealed,J. R. Ward;Jessica Bird Ward,Fiction,"4,3"
Robot Visions,Isaac Asimov,Fiction,"4,22"
Dealing in Futures,Joe Haldeman,Fiction,"3,72"
Bored of the Rings,Henry Beard;Harvard Lampoon;Douglas C. Kenney,Fiction,"3,12"
The Innkeeper's Song,Peter S. Beagle,Fiction,"3,89"
The Forest House,Marion Zimmer Bradley,Fiction,"3,86"
Not of Woman Born,Constance Ash;Robert A. Silverberg,Fiction,"3,8"
The River's Gift,Mercedes Lackey,Fiction,"3,88"
Thin Air,Rachel Caine,Fiction,"3,96"
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson;Vladimir Vladimirovich Nabokov,Fiction,"3,8"
Les Miserables a New Unabridged Translation,Victor Hugo,Fiction,"4,16"
Arrowsmith,Sinclair Lewis,Fiction,"3,81"
The Call of the Wild and Selected Stories,Jack London,Fiction,"3,83"
The Odyssey,Homer,Fiction,"3,75"
Beowulf,Burton Raffel,Fiction,"3,43"
Great Dialogues of Plato,Plato,Philosophy,"4,16"
The Hunchback of Notre-Dame,Victor Hugo;Walter J. Cobb,Fiction,"3,99"
Paradise Lost and Paradise Regained,John Milton,Poetry,"4,08"
The Hound of the Baskervilles,Arthur Conan Doyle,Fiction,"4,1"
Madame Bovary,Gustave Flaubert;Mildred Marmur,Fiction,"3,66"
Ten Great Works of Philosophy,Robert Paul Wolff,Fiction,"3,82"
The Invisible Man,Herbert George Wells,Fiction,"3,63"
The Time Machine,Herbert George Wells,Fiction,"3,88"
"The Adventures of Tom Sawyer, And, Adventures of Huckleberry Finn",Mark Twain,Fiction,"4,08"
The Death of Ivan Ilych and Other Stories,graf Leo Tolstoy,Fiction,"4,1"
Anne of Green Gables,Lucy Maud Montgomery,Fiction,"4,24"
The Origin of Species,Charles Darwin,Fiction,"3,99"
The Travels of Marco Polo,Marco Polo;Milton Rugoff;Howard Mittelmark,Biography & Autobiography,"3,59"
Around the World in Eighty Days,Jules Verne,Fiction,"3,92"
David Copperfield,Charles Dickens,Fiction,"3,98"
Pygmalion,Bernard Shaw;Alan Jay Lerner,Fiction,"4,25"
A Portrait of the Artist as a Young Man,James Joyce,Fiction,"3,61"
"Chekhov, the Major Plays",Anton Pavlovich Chekhov,Drama,"4,18"
The Autobiography of Andrew Carnegie and the Gospel of Wealth,Andrew Carnegie,Biography & Autobiography,4
Howards End,Edward Morgan Forster,Fiction,"3,96"
Four Plays,Aristophanes,Drama,"4,06"
The Oedipus Plays of Sophocles,Sophocles;Paul Roche,Drama,"3,97"
Atlas Shrugged,Ayn Rand,Capitalism,"3,68"
Sleeping Beauty Novels,A.N. Roquelaure,Fiction,"3,99"
Stephen King's Creepshow,Stephen King;Berni Wrightson;Michele Wrightson,Fiction,"4,07"
Song of Solomon,Toni Morrison,Fiction,"4,04"
"Because it is Bitter, and Because it is My Heart",Joyce Carol Oates,Fiction,"3,89"
When Food is Love,Geneen Roth,Family & Relationships,"4,04"
Feeding the Hungry Heart,Geneen Roth,Health & Fitness,"3,97"
Breaking Free from Compulsive Eating,Geneen Roth,Self-Help,"4,01"
"The Porcelain Dove, Or, Constancy's Reward",Delia Sherman,Fiction,"3,42"
For Keeps,Pauline Kael,Performing Arts,"4,47"
In the Time of the Butterflies,Julia Alvarez,Dominican Republic,"4,14"
Zombie,Joyce Carol Oates,Fiction,"3,34"
The McDougall Quick and Easy Cookbook,John A. McDougall;Mary McDougall,Cooking,"3,98"
Man Crazy,Joyce Carol Oates,Fiction,"3,39"
Savage Love,Dan Savage,Self-Help,"3,84"
Journals of Ayn Rand,Ayn Rand;Leonard Peikoff;David Harriman,Biography & Autobiography,"3,95"
Something to Declare,Julia Alvarez,Literary Criticism,"3,98"
Anthem,Ayn Rand,Fiction,"3,63"
The Feeling Good Handbook,David D. Burns,Psychology,4
Beauty's Punishment,A. N. Roquelaure;Anne Rice,Fiction,"3,62"
City of God,E. L. Doctorow,Fiction,"3,41"
Hot Chocolate for the Mystical Lover,Arielle Ford,"Body, Mind & Spirit","4,11"
The Bluest Eye,Toni Morrison,Fiction,4
We Were the Mulvaneys,Joyce Carol Oates,Fiction,"3,72"
1984,George Orwell,London (England),"4,17"
Riding the Bus with My Sister,Rachel Simon,Biography & Autobiography,"3,75"
A Long Short War,Christopher Hitchens,Political Science,"3,74"
Stolen,Kelley Armstrong,Fiction,"4,15"
Bitten,Kelley Armstrong,Fiction,"4,05"
The Jane Austen Book Club,Karen Joy Fowler,Fiction,"3,08"
The Bluest Eye,Toni Morrison,Fiction,"4,01"
How the García Girls Lost Their Accents,Julia Alvarez,Fiction,"3,63"
War and Peace and War,Peter Turchin,History,"4,15"
The Bachman Books,Stephen King,Fiction,"4,11"
The Sword and the Shield,Christopher Andrew;Vasili Mitrokhin,History,"3,93"
The Clock Of The Long Now,Stewart Brand,Philosophy,"4,11"
The Evolution of Desire,David M. Buss,Health & Fitness,"4,07"
Crime And Punishment In American History,Lawrence Friedman,Law,"3,89"
The Culture of Fear,Barry Glassner,Social Science,"3,7"
Drama Of The Gifted,Alice Miller,Psychology,"4,09"
After Theory,Terry Eagleton,Literary Collections,"3,83"
The Pleasure of Finding Things Out,Richard Phillips Feynman,Science,"4,25"
The Classical World,Robin Lane Fox,History,"3,92"
Why is sex fun?,Jared M. Diamond,Health & Fitness,"3,71"
Knowledge And Decisions,Thomas Sowell,Law,"4,38"
Philosophy In The Flesh,George Lakoff,Philosophy,"4,07"
The Republic of Plato,Allan Bloom,Philosophy,"3,93"
River Out of Eden,Richard Dawkins,Science,"3,97"
Shattered Bonds,Dorothy E. Roberts,Political Science,"4,2"
A Conflict Of Visions,Thomas Sowell,History,"4,32"
Applied Economics,Thomas Sowell,Business & Economics,"4,14"
Stephen Hawking's Universe,David Filkin,Science,"4,28"
Not Even Wrong,Peter Woit,Science,"3,93"
Jane Austen For Dummies,Joan Elizabeth Klingel Ray,Biography & Autobiography,"4,02"
Personal Finance For Dummies,Eric Tyson,Business & Economics,"3,77"
Crash Proof,Peter D. Schiff;John Downes,Business & Economics,"3,79"
eBay For Dummies,Marsha Collier,Business & Economics,"3,5"
Texas Hold'em For Dummies,Mark Harlan,Games & Activities,"3,83"
Fundamentals of Heat and Mass Transfer 6th Edition with IHT/FEHT 3.0 CD with User Guide Set,Frank P. Incropera,Science,4
The Man Who Changed Everything,Basil Mahon,Biography & Autobiography,"4,12"
Extraordinary Popular Delusions and the Madness of Crowds and ConfusiÃ3n de Confusiones,Charles Mackay,Business & Economics,"3,91"
Astronomy,Dinah L. Moché,Science,"3,89"
The Skeptic's Dictionary,Robert Carroll,Science,"4,03"
Color Drawing,Michael E. Doyle,Architecture,"4,22"
A Modernist View of Plated Desserts (Grand Finales),Tish Boyle;Timothy Moriarty,Cooking,"4,24"
Bad Astronomy,Philip C. Plait,Science,"4,04"
The Warren Buffett CEO,Robert P. Miles,Business & Economics,"4,05"
The Science of Sherlock Holmes,E. J. Wagner,Law,"4,22"
All the Shah's Men,Stephen Kinzer,History,"4,24"
Information Technology for Management,Efraim Turban,Computers,"3,93"
Limbo,Alfred Lubrano,Social Science,"4,11"
Data Structures and Algorithms in Java,Michael T. Goodrich;Roberto Tamassia,Computers,"3,82"
The Warren Buffett Way,Robert G. Hagstrom,Biography & Autobiography,"4,12"
Lady on the Hill,Howard E. Covington,Travel,"3,89"
Baby Signing For Dummies,Jennifer Watson,Family & Relationships,"3,63"
Power of An Hour,Dave Lakhani,Business & Economics,"3,31"
The Science of Stephen King,Lois H. Gresh;Robert Weinberg,Literary Criticism,"3,49"
Feminist Measures,Lynn Keller;Cristanne Miller,Social Science,"4,4"
Simulacra and Simulation,Jean Baudrillard,Social Science,"3,98"
Their Sisters' Keepers,Estelle B. Freedman,History,"4,23"
The Philosophy of History,Georg Wilhelm Friedrich Hegel,History,"3,82"
The Will to Believe,William James,Philosophy,"4,06"
Fads and Fallacies in the Name of Science,Martin Gardner,Science,"4,06"
Three Graphic Novels,E.F. Bleiler,Fiction,"3,75"
Best Science Fiction Stories of H. G. Wells,Herbert George Wells,Literary Collections,"3,84"
