title,authors,categories,average_rating
The Active Side of Infinity,Carlos Castaneda,"Body, Mind & Spirit","4,16"
You Can't Go Home Again,Thomas Wolfe,Fiction,"4,05"
The Fifth Mountain,Paulo Coelho,Fiction,"3,62"
V.,Thomas Pynchon,Fiction,"3,96"
The Poisonwood Bible,Barbara Kingsolver,Fiction,"4,05"
Cloudsplitter,Russell Banks,Fiction,"3,9"
"Plato, Not Prozac!",Lou Marinoff,Philosophy,"3,39"
The Map That Changed the World,Simon Winchester;Soun Vannithone,Biography & Autobiography,"3,82"
The Odyssey of Homer,Homer,Fiction,"3,75"
Collected Novellas,Gabriel Garcia Marquez,Fiction,"4,01"
Collected Stories,Gabriel Garcia Marquez,Fiction,"4,19"
A Mulligan for Bobby Jobe,Robert Cullen,Fiction,"3,31"
In the Footsteps of Mr. Kurtz,Michela Wrong,History,"3,98"
Every Tongue Got to Confess,Zora Neale Hurston,Literary Criticism,"3,98"
Kitchen Confidential,Anthony Bourdain,Biography & Autobiography,"4,06"
One Matchless Time,Jay Parini,Biography & Autobiography,"3,97"
The Girl in the Glass,Jeffrey Ford,Fiction,"3,72"
The Best American Science Writing 2002,Matt Ridley;Alan Lightman,Science,"3,88"
Wittgenstein's Poker,David Edmonds;John Eidinow,Philosophy,"3,75"
Smart Discipline(R),Larry Koenig,Family & Relationships,"3,99"
The Schopenhauer Cure,Irvin Yalom,Fiction,"4,21"
African Nights,Kuki Gallmann,Biography & Autobiography,"3,8"
The Autobiography of Mark Twain,Charles Neider,Biography & Autobiography,"4,05"
Joy in the Morning,Betty Smith,Fiction,"3,9"
Beauty,John O'Donohue,"Body, Mind & Spirit","4,45"
The Darling,Russell Banks,Fiction,"3,78"
The Making of a Philosopher,Colin McGinn,Philosophy,"3,65"
The Language Instinct,Steven Pinker,Language Arts & Disciplines,"4,05"
Prodigal Summer,Barbara Kingsolver,Fiction,4
Tales of the City,Armistead Maupin,Fiction,"4,04"
Fear of Falling,Barbara Ehrenreich,Social Science,"3,9"
The Hidden Hand,Carroll John Daly,Fiction,"3,43"
Europe,Norman Davies,History,"4,17"
Savage Inequalities,Jonathan Kozol,Education,"4,24"
Gold Bug Variations,Richard Powers,Fiction,"4,13"
Three Farmers on Their Way to a Dance,Richard Powers,Fiction,"3,84"
The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,Fiction,"3,69"
Fiskadoro,Denis Johnson,Fiction,"3,54"
The Stars at Noon,Denis Johnson,Fiction,"3,59"
Operation Wandering Soul,Richard Powers,Fiction,"3,62"
Reasons to Live,Amy Hempel,Fiction,"4,16"
Prisoner's Dilemma,Richard Powers,Fiction,"3,87"
The God of Small Things,Arundhati Roy,Fiction,"3,93"
Courtesans and Fishcakes,James Davidson,History,"3,93"
Girlfriend in a Coma,Douglas Coupland,Fiction,"3,61"
The Long Hard Road Out of Hell,Marilyn Manson;Neil Strauss,Biography & Autobiography,"3,89"
Confessions of an Ugly Stepsister,Gregory Maguire,Fiction,"3,52"
The Dirt,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars,Biography & Autobiography,"4,16"
Life Is Elsewhere,Milan Kundera;Aaron Asher,Fiction,"3,95"
Cat Laughing Last,Shirley Rousseau Murphy,Fiction,"4,21"
The Crow: The Lazarus Heart,Poppy Z. Brite,Fiction,"3,7"
Well of Darkness,Margaret Weis;Tracy Hickman,Fiction,"3,66"
The Light Fantastic,Terry Pratchett,Fiction,"3,97"
U.S.S. Seawolf,Patrick Robinson,Fiction,"3,94"
Realms of Dragons,Margaret Weis;Denise Little;Tracy Hickman,Fiction,"4,04"
The Player of Games,Iain Banks,Fiction,"4,27"
My Soul to Keep,Tananarive Due,Fiction,"4,18"
Peril's Gate,Janny Wurts,Fiction,"4,15"
Fugitive Prince,Janny Wurts,Fiction,"3,88"
Love in Vein,Poppy Z. Brite,Fiction,"3,6"
Cat on the Edge,Shirley Rousseau Murphy,Fiction,"3,9"
Cat in the Dark,Shirley Rousseau Murphy,Fiction,"4,25"
Treasure Box,Orson Scott Card,Fiction,"3,32"
Homebody,Orson Scott Card,Fiction,"3,39"
Imajica II,Clive Barker,Fiction,"4,42"
Choke,Stuart Woods,Fiction,"3,83"
Dirt,Stuart Woods,Fiction,"3,88"
Kilo Class,Patrick Robinson,Fiction,"4,04"
Their Eyes Were Watching God,Zora Neale Hurston,Fiction,"3,9"
A Tree Grows in Brooklyn,Betty Smith,Fiction,"4,26"
Daughter of Fortune,Isabel Allende,Fiction,"3,9"
By the River Piedra I Sat Down and Wept,Paulo Coelho,Fiction,"3,57"
The Alchemist,Paulo Coelho,Fiction,"3,85"
Veronika Decides to Die,Paulo Coelho,Fiction,"3,7"
