Book,Author,Genres,Avg_Rating
Brave New World,Aldous Huxley,"Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, School","3,99"
Sense and Sensibility,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Audiobook","4,08"
The Princess Bride,William Goldman,"Fantasy, Classics, Fiction, Romance, Humor, Young Adult, Adventure","4,26"
The Iliad,Homer,"Classics, Poetry, Fiction, Mythology, Literature, Fantasy, Historical Fiction","3,9"
East of Eden,John Steinbeck,"Classics, Fiction, Historical Fiction, Literature, Novels, American, Literary Fiction","4,4"
Where the Red Fern Grows,Wilson Rawls,"Classics, Fiction, Young Adult, Childrens, Historical Fiction, Middle Grade, Animals","4,1"
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,"Classics, Horror, Fiction, Short Stories, Poetry, Mystery, Literature","4,19"
Mans Search for Meaning,Viktor E. Frankl,"Nonfiction, Psychology, Philosophy, History, Self Help, Memoir, Biography","4,37"
The Lorax,Dr. Seuss,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Environment","4,34"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Fiction, Mystery, Young Adult, Contemporary, Classics, Novels, Autistic Spectrum Disorder","3,89"
The Declaration of Independence / The Constitution of the United States,Founding Fathers,"History, Nonfiction, Politics, Classics, Philosophy, Reference, American History","4,44"
The Bell Jar,Sylvia Plath,"Classics, Fiction, Feminism, Mental Health, Psychology, Literature, Mental Illness","4,04"
The Last Lecture,Randy Pausch,"Nonfiction, Memoir, Biography, Self Help, Inspirational, Philosophy, Autobiography","4,26"
Rebecca,Daphne du Maurier,"Classics, Fiction, Mystery, Gothic, Romance, Historical Fiction, Thriller","4,24"
The Velveteen Rabbit,Margery Williams Bianco,"Classics, Childrens, Fiction, Picture Books, Fantasy, Animals, Young Adult","4,29"
And Then There Were None,Agatha Christie,"Classics, Fiction, Crime, Thriller, Mystery Thriller, Audiobook, Mystery","4,28"
The Fountainhead,Ayn Rand,"Fiction, Classics, Philosophy, Literature, Novels, Politics, Architecture","3,88"
The Lovely Bones,Alice Sebold,"Fiction, Mystery, Young Adult, Contemporary, Fantasy, Crime, Thriller","3,84"
Alice in Wonderland,Jane Carruth,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature","4,03"
The Call of the Wild,Jack London,"Classics, Fiction, Adventure, Young Adult, Animals, Historical Fiction, Literature","3,9"
The Five People You Meet in Heaven,Mitch Albom,"Fiction, Inspirational, Contemporary, Fantasy, Classics, Spirituality, Adult","3,98"
Animal Farm / 1984,George Orwell,"Classics, Fiction, Dystopia, Literature, Science Fiction, Politics, Fantasy","4,3"
Perfume: The Story of a Murderer,Patrick Süskind,"Fiction, Classics, Historical Fiction, Horror, Mystery, Thriller, Crime","4,03"
Love You Forever,Robert Munsch,"Picture Books, Childrens, Fiction, Classics, Family, Love, Kids","4,37"
Bridge to Terabithia,Katherine Paterson,"Fiction, Young Adult, Classics, Fantasy, Childrens, Middle Grade, Realistic Fiction","4,04"
A Prayer for Owen Meany,John Irving,"Fiction, Classics, Contemporary, Literature, Literary Fiction, Novels, Historical Fiction","4,24"
The Road,Cormac McCarthy,"Fiction, Science Fiction, Dystopia, Post Apocalyptic, Classics, Horror, Literature","3,98"
The Divine Comedy,Dante Alighieri,"Classics, Poetry, Fiction, Literature, Philosophy, Religion, Fantasy","4,07"
A Midsummer Nights Dream,William Shakespeare,"Classics, Plays, Fiction, Fantasy, Drama, School, Romance","3,95"
A Story of Yesterday,Sergio Cobo,"Spanish Literature, Thriller, European Literature, Mystery, Magical Realism, Fiction, Drama","4,6"
The Prophet,Kahlil Gibran,"Poetry, Classics, Philosophy, Fiction, Spirituality, Religion, Literature","4,23"
Persuasion,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Audiobook","4,15"
The Name of the Rose,Umberto Eco,"Fiction, Historical Fiction, Mystery, Classics, Historical, Literature, Italian Literature","4,13"
Water for Elephants,Sara Gruen,"Fiction, Historical Fiction, Romance, Historical, Adult, Adult Fiction, Contemporary","4,1"
The Boy in the Striped Pajamas,John Boyne,"Historical Fiction, Fiction, Young Adult, Historical, Classics, Holocaust, War","4,15"
How the Grinch Stole Christmas!,Dr. Seuss,"Childrens, Picture Books, Christmas, Classics, Fiction, Poetry, Fantasy","4,37"
Jonathan Livingston Seagull,Richard Bach,"Fiction, Classics, Philosophy, Fantasy, Spirituality, Inspirational, Self Help","3,85"
Oliver Twist,Charles Dickens,"Classics, Fiction, Historical Fiction, Literature, 19th Century, Novels, Classic Literature","3,88"
The Secret Life of Bees,Sue Monk Kidd,"Fiction, Historical Fiction, Young Adult, Classics, Historical, Contemporary, Adult Fiction","4,08"
The Master and Margarita,Mikhail Bulgakov,"Classics, Fiction, Russia, Fantasy, Russian Literature, Magical Realism, Literature","4,29"
The Complete Sherlock Holmes,Arthur Conan Doyle,"Classics, Mystery, Fiction, Crime, Short Stories, Detective, Literature","4,5"
In Cold Blood,Truman Capote,"Nonfiction, True Crime, Classics, Crime, Mystery, History, Thriller","4,08"
The Crucible: A Play in Four Acts,Arthur  Miller,"Classics, Plays, Fiction, Historical Fiction, School, Drama, Read For School","3,6"
Heart of Darkness,Joseph Conrad,"Classics, Fiction, Literature, Africa, Historical Fiction, School, Novels","3,43"
The Red Tent,Anita Diamant,"Historical Fiction, Fiction, Historical, Religion, Book Club, Feminism, Adult","4,19"
Love in the Time of Cholera,Gabriel García Márquez,"Fiction, Classics, Historical Fiction, Romance, Magical Realism, Literature, Novels","3,93"
The Glass Castle,Jeannette Walls,"Nonfiction, Memoir, Biography, Biography Memoir, Autobiography, Book Club, Adult","4,3"
The Gift of the Magi,O. Henry,"Classics, Short Stories, Fiction, Christmas, Romance, Holiday, Literature","4,1"
The Unbearable Lightness of Being,Milan Kundera,"Fiction, Classics, Philosophy, Literature, Novels, Czech Literature, Romance","4,11"
"Eat, Pray, Love",Elizabeth Gilbert,"Nonfiction, Memoir, Travel, Biography, Romance, Chick Lit, Spirituality","3,61"
The Canterbury Tales,Geoffrey Chaucer,"Classics, Fiction, Poetry, Literature, School, Medieval, Short Stories","3,52"
On the Road,Jack Kerouac,"Classics, Fiction, Travel, Literature, Novels, American, Adventure","3,62"
The Art of War,Sun Tzu,"Classics, Nonfiction, Philosophy, History, War, Politics, Business","3,97"
Aesops Fables,Aesop,"Classics, Fiction, Short Stories, Childrens, Fantasy, Literature, Mythology","4,05"
The Screwtape Letters,C.S. Lewis,"Fiction, Christian, Classics, Religion, Christianity, Fantasy, Theology","4,25"
Fight Club,Chuck Palahniuk,"Fiction, Classics, Contemporary, Thriller, Novels, Mystery, Adult","4,19"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy","4,61"
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Classics, Horror, Fiction, Science Fiction, Mystery, Gothic, Fantasy","3,83"
Gullivers Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,"Classics, Fiction, Fantasy, Adventure, Literature, Novels, 18th Century","3,58"
Robinson Crusoe,Daniel Defoe,"Classics, Fiction, Adventure, Literature, Historical Fiction, Novels, 18th Century","3,68"
Walden,Henry David Thoreau,"Classics, Philosophy, Nonfiction, Nature, Memoir, Literature, Biography","3,78"
The Origin of Species,Charles Darwin,"Science, Nonfiction, Classics, Biology, Evolution, Philosophy, History",4
Invisible Man,Ralph Ellison,"Classics, Fiction, Literature, Race, Historical Fiction, African American, Novels","3,91"
Emma,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Audiobook","4,04"
The Prince,Niccolò Machiavelli,"Classics, Philosophy, Nonfiction, Politics, History, Literature, Political Science","3,83"
Sophies World,Jostein Gaarder,"Philosophy, Fiction, Classics, Young Adult, Novels, Fantasy, Literature","3,96"
The Complete Grimms Fairy Tales,Jacob Grimm,"Classics, Fantasy, Fiction, Fairy Tales, Short Stories, Childrens, Literature","4,28"
The Trial,Franz Kafka,"Classics, Fiction, Philosophy, Literature, German Literature, Novels, Dystopia","3,96"
The Time Machine,H.G. Wells,"Classics, Science Fiction, Fiction, Time Travel, Fantasy, Dystopia, Literature","3,9"
Roots: The Saga of an American Family,Alex Haley,"Historical Fiction, Fiction, Classics, Historical, African American, Africa, Race","4,44"
Candide,Voltaire,"Classics, Fiction, Philosophy, France, Literature, Humor, French Literature","3,76"
Beloved,Toni Morrison,"Fiction, Classics, Historical Fiction, Magical Realism, Literature, Historical, School","3,93"
Atonement,Ian McEwan,"Fiction, Historical Fiction, Classics, Romance, Historical, War, Literary Fiction","3,93"
Go Ask Alice,Beatrice Sparks,"Young Adult, Fiction, Classics, Contemporary, Mental Health, Realistic Fiction, Teen","3,75"
My Sisters Keeper,Jodi Picoult,"Fiction, Contemporary, Chick Lit, Young Adult, Drama, Adult, Adult Fiction","4,09"
Tuck Everlasting,Natalie Babbitt,"Fantasy, Classics, Young Adult, Fiction, Childrens, Middle Grade, School","3,89"
Stranger in a Strange Land,Robert A. Heinlein,"Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Novels, Speculative Fiction","3,92"
The Sun Also Rises,Ernest Hemingway,"Classics, Fiction, Literature, Novels, Historical Fiction, American, Spain","3,8"
Mere Christianity,C.S. Lewis,"Christian, Nonfiction, Religion, Theology, Christianity, Classics, Philosophy","4,35"
