Book,Author,Genres,Avg_Rating
The Language Instinct: How the Mind Creates Language,Steven Pinker,"Nonfiction, Science, Psychology, Linguistics, Language, Philosophy, Neuroscience","4,01"
The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss,"Childrens, Picture Books, Classics, Fiction, Poetry, Audiobook, Fantasy","4,43"
Twisted,Anna Gallegos,Horror,"4,5"
Kargaroth: A Tale of the Great Onion Knighthood,Mark B. Frost,Fantasy,"4,55"
Gargantua and Pantagruel,François Rabelais,"Classics, Fiction, France, French Literature, Literature, Humor, Fantasy","3,68"
Oleanna,David Mamet,"Plays, Drama, Theatre, Fiction, American, Classics, 20th Century","3,61"
The Princess Diarist,Carrie Fisher,"Nonfiction, Memoir, Biography, Audiobook, Humor, Star Wars, Autobiography","3,69"
"My Sister, the Serial Killer",Oyinkan Braithwaite,"Fiction, Thriller, Mystery, Contemporary, Audiobook, Crime, Mystery Thriller","3,69"
The Piano Lesson,August Wilson,"Plays, Drama, Fiction, Classics, School, African American, Theatre","3,8"
The Nerdist Way: How to Reach the Next Level,Chris Hardwick,"Nonfiction, Self Help, Humor, Biography, Audiobook, Memoir, Comedy","3,67"
The Enchanted April,Elizabeth von Arnim,"Classics, Fiction, Italy, Historical Fiction, Romance, Audiobook, British Literature","3,93"
Beautiful You,Chuck Palahniuk,"Fiction, Humor, Contemporary, Science Fiction, Horror, Adult, Thriller","3,03"
Outwitting the Devil: The Secret to Freedom and Success,Napoleon Hill,"Self Help, Nonfiction, Business, Personal Development, Psychology, Philosophy, Audiobook","4,25"
Hinds Feet on High Places,Hannah Hurnard,"Christian, Fiction, Christian Fiction, Classics, Faith, Christianity, Spirituality","4,32"
Alices Adventures in Wonderland & Other Stories,Lewis Carroll,"Classics, Fantasy, Fiction, Childrens, Poetry, Literature, Short Stories","4,26"
Wit,Margaret Edson,"Plays, Drama, Fiction, Theatre, School, Medicine, Contemporary","4,14"
Im OK - Youre OK,Thomas A. Harris,"Psychology, Nonfiction, Self Help, Personal Development, Relationships, Mental Health, Science","3,75"
Because I Love You,Max Lucado,"Picture Books, Childrens, Christian, Religion, Christian Fiction, Fiction, Fantasy","4,44"
"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,"Business, Nonfiction, Self Help, Leadership, Personal Development, Psychology, Management","3,95"
"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",Henry Cloud,"Self Help, Nonfiction, Psychology, Christian, Relationships, Personal Development, Christian Living","4,2"
Mandy,Julie Andrews Edwards,"Fiction, Childrens, Middle Grade, Young Adult, Classics, Historical Fiction, Juvenile","4,26"
The Truth of All that Is: The Angel book to Enlightenment and Personal Transformation,Amelia Bert,"Spirituality, Nonfiction, Self Help, New Age, Angels","4,47"
And Tango Makes Three,Justin Richardson,"Picture Books, LGBT, Childrens, Banned Books, Animals, Nonfiction, Family","4,32"
The Complete Adventures of Curious George,Margret Rey,"Childrens, Picture Books, Fiction, Classics, Animals, Kids, Fantasy","4,23"
Shit my History Teacher DID NOT tell me!,Karl Wiggins,"Nonfiction, History, Humor, Comedy, Philosophy, Politics, Historical","4,06"
The 5 Elements of Effective Thinking,Edward B. Burger,"Nonfiction, Psychology, Self Help, Personal Development, Business, Productivity, Philosophy",4
The Wanting Seed,Anthony Burgess,"Fiction, Science Fiction, Dystopia, Classics, Literature, British Literature, Novels","3,74"
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,"Philosophy, Nonfiction, Self Help, Personal Development, Psychology, Spirituality, Business","4,36"
A Short History of Progress,Ronald Wright,"History, Nonfiction, Science, Anthropology, Environment, Philosophy, Politics","4,1"
The Summer Book,Tove Jansson,"Fiction, Short Stories, Classics, Finnish Literature, Scandinavian Literature, Novels, Literary Fiction","4,05"
The City and the Stars,Arthur C. Clarke,"Science Fiction, Fiction, Classics, Dystopia, Science Fiction Fantasy, Novels, Fantasy","4,08"
"To Sir, With Love",E.R. Braithwaite,"Fiction, Classics, Education, Young Adult, Historical Fiction, Literature, British Literature","4,19"
Dry,Augusten Burroughs,"Memoir, Nonfiction, Biography, Humor, Biography Memoir, Autobiography, LGBT","4,02"
The Hitchhikers Guide to the Galaxy: A Trilogy in Four Parts,Douglas Adams,"Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy","4,5"
Little Birds,Anaïs Nin,"Fiction, Erotica, Short Stories, Classics, Romance, Sexuality, Literature","3,72"
Bridget Joness Diary and Bridget Jones: The Edge of Reason,Helen Fielding,"Fiction, Chick Lit, Romance, Humor, Contemporary, Comedy, Novels","3,81"
The Death and Life of Great American Cities,Jane Jacobs,"Nonfiction, Architecture, History, Urban Planning, Urbanism, Cities, Sociology","4,3"
Fingerprints of the Gods: The Evidence of Earths Lost Civilization,Graham Hancock,"History, Nonfiction, Science, Ancient History, Mythology, Archaeology, Anthropology","4,17"
Cider with Rosie,Laurie Lee,"Classics, Nonfiction, Memoir, Biography, Autobiography, British Literature, Biography Memoir","3,9"
Anne Frank Remembered,Miep Gies,"Nonfiction, History, Biography, Holocaust, Memoir, Classics, World War II","4,28"
Amazonia,James Rollins,"Thriller, Adventure, Fiction, Mystery, Action, Science Fiction, Mystery Thriller","4,14"
Manhunt: The 12-Day Chase for Lincolns Killer,James L. Swanson,"History, Nonfiction, Civil War, True Crime, American History, Crime, Historical","4,15"
The Complete Poems,Anne Sexton,"Poetry, Classics, Feminism, Fiction, 20th Century, American, Womens","4,28"
"Look Homeward, Angel",Thomas Wolfe,"Fiction, Classics, Literature, Novels, American, Coming Of Age, Southern","3,92"
Battlefield Of The Mind: Winning The Battle In Your Mind,Joyce Meyer,"Christian, Nonfiction, Self Help, Spirituality, Faith, Christianity, Religion","4,31"
Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,"Fantasy, Short Stories, Fiction, Horror, Urban Fantasy, Anthologies, Science Fiction","4,02"
Chicken Soup for the Soul,Jack Canfield,"Nonfiction, Self Help, Inspirational, Short Stories, Personal Development, Psychology, Spirituality","3,96"
The Women of Brewster Place,Gloria Naylor,"Fiction, Short Stories, Classics, African American, Historical Fiction, Literary Fiction, Contemporary","4,19"
The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,"Nonfiction, Self Help, Spirituality, Philosophy, Religion, Buddhism, Audiobook","4,38"
Wrong Planet - Searching for your Tribe,Karl Wiggins,"Philosophy, Nonfiction, Self Help","4,18"
The Varieties of Scientific Experience: A Personal View of the Search for God,Carl Sagan,"Science, Nonfiction, Philosophy, Religion, Spirituality, Atheism, Physics","4,28"
JPod,Douglas Coupland,"Fiction, Canada, Humor, Contemporary, Comedy, Novels, Literature","3,7"
The Know-It-All,A.J. Jacobs,"Nonfiction, Humor, Memoir, Biography, Books About Books, Biography Memoir, Autobiography","3,75"
An Inspector Calls,J.B. Priestley,"Plays, Classics, School, Fiction, Mystery, Drama, Crime","3,82"
How to Win Friends and Influence People in the Digital Age,Dale Carnegie,"Self Help, Nonfiction, Business, Personal Development, Psychology, Leadership, Communication","3,93"
Richard II,William Shakespeare,"Plays, Classics, Drama, Fiction, Historical Fiction, Theatre, Poetry","3,77"
Deliverance,James Dickey,"Fiction, Classics, Thriller, Horror, Adventure, Novels, Literature","3,89"
I Have The Right To Destroy Myself,Kim Young-ha,"Fiction, Contemporary, Asian Literature, Asia, Literary Fiction, Short Stories, Literature","3,28"
He Chose the Nails: What God Did to Win Your Heart,Max Lucado,"Christian, Nonfiction, Religion, Christianity, Christian Living, Christian Non Fiction, Inspirational","4,39"
"I, Claudius/Claudius the God",Robert Graves,"Historical Fiction, Fiction, Classics, Historical, Literature, Novels, Italy","4,44"
The Signal and the Noise: Why So Many Predictions Fail—But Some Dont,Nate Silver,"Nonfiction, Science, Business, Economics, Politics, Psychology, Mathematics","3,97"
Saint Joan,George Bernard Shaw,"Plays, Classics, Drama, Fiction, Historical Fiction, Theatre, Literature","3,76"
City,Clifford D. Simak,"Science Fiction, Fiction, Short Stories, Fantasy, Classics, Science Fiction Fantasy, Speculative Fiction","4,08"
The Way Things Are,Lucretius,"Philosophy, Poetry, Classics, Nonfiction, Science, History, Ancient","3,98"
The Practicing Mind: Bringing Discipline and Focus into Your Life,Thomas M. Sterner,"Self Help, Nonfiction, Psychology, Personal Development, Productivity, Philosophy, Audiobook","3,95"
Hymns of The Church of Jesus Christ of Latter-day Saints,The Church of Jesus Christ of Latter-day Saints,"Religion, Lds, Music, Nonfiction, Church, Inspirational, Reference","4,66"
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,"Nonfiction, History, Audiobook, Historical, War, World War I, American History","4,1"
The Closing of the American Mind,Allan Bloom,"Philosophy, Nonfiction, Education, Politics, History, Cultural, Sociology","3,76"
An Instance of the Fingerpost,Iain Pears,"Historical Fiction, Mystery, Fiction, Historical, Crime, Historical Mystery, Mystery Thriller","3,93"
"Stones Into Schools: Promoting Peace With Books, Not Bombs, in Afghanistan and Pakistan",Greg Mortenson,"Nonfiction, Education, Memoir, Biography, Travel, Pakistan, History","3,85"
Still Missing,Chevy Stevens,"Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Crime, Contemporary","3,99"
Her Fearful Symmetry,Audrey Niffenegger,"Fiction, Fantasy, Paranormal, Mystery, Contemporary, Ghosts, Magical Realism","3,26"
The Best of Me,Nicholas Sparks,"Romance, Fiction, Chick Lit, Contemporary, Adult, Audiobook, Adult Fiction","3,97"
Mysterious Skin,Scott Heim,"Fiction, LGBT, Queer, Contemporary, Gay, Coming Of Age, Mystery","4,12"
The Book of Lies,Aleister Crowley,"Occult, Philosophy, Nonfiction, Religion, Poetry, Spirituality, Thelema","3,83"
"The Ragamuffin Gospel: Good News for the Bedraggled, Beat-Up, and Burnt Out",Brennan Manning,"Christian, Nonfiction, Faith, Christianity, Religion, Christian Living, Spirituality","4,18"
The Fixer,Bernard Malamud,"Fiction, Historical Fiction, Classics, Jewish, Literature, Russia, Novels","3,97"
True West,Sam Shepard,"Plays, Drama, Fiction, Theatre, Audiobook, Classics, School","3,68"
Downright Delinquents,Lauren Jackson,"Young Adult, Romance, High School, Mental Health, Abuse","4,06"
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,"Leadership, Business, Nonfiction, Self Help, Personal Development, Management, Military Fiction","4,25"
"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness",Ichiro Kishimi,"Nonfiction, Self Help, Psychology, Philosophy, Personal Development, Audiobook, Mental Health","4,05"
True Competition: A Guide to Pursuing Excellence in Sport and Society,David Light Shields,Nonfiction,"4,04"
Anathema Rhodes: Dreams,Iimani David,Fiction,"3,19"
Truman,David McCullough,"Biography, History, Presidents, Nonfiction, American History, Politics, Biography Memoir","4,14"
Origins,S.E. Meyer,"Science Fiction, Fantasy, Amazon","3,7"
Million Dollar Miracle,Jennifer Szewczuk,"Mystery, Humor, Fiction","4,12"
Johnny Fracture,Waheed Ibne Musa,Thriller,"4,3"
Antony and Cleopatra,William Shakespeare,"Classics, Plays, Drama, Fiction, Historical Fiction, Theatre, Romance","3,7"
LOG: The Legends of Genesis: Not Your Ordinary Heroes,Mark McCants,Superheroes,"4,18"
The Tree with a Thousand Apples,Sanchit Gupta,"Fiction, Historical Fiction, Thriller, India, Drama, Cultural, Indian Literature","4,43"
Rafferty Lincoln Loves...,Emily  Williams,"Young Adult, Horses","4,19"
The Enlightenment of Alexander,B.Q. Hanson,"Romance, M M Romance, BDSM, LGBT, Erotica, Fiction, Hockey","3,32"
Tales of the Astonishing Black Spark,Charlie J. Eskew,"Fiction, Science Fiction, Contemporary, Fantasy, Graphic Novels, Superheroes, Speculative Fiction","4,07"
Explosive Growth: A Few Things I Learned While Growing To 100 Million Users - And Losing $78 Million,Cliff Lerner,"Business, Entrepreneurship, Leadership, Management, Nonfiction, Biography, Inspirational","4,17"
Set the Night on Fire: L.A. in the Sixties,Mike  Davis,"History, Nonfiction, Politics, Race, American History, Social Justice, The United States Of America","4,4"
EXSTATICA Self-Help Essentials: Unleash the Transformative Sparkles of the Renaissance Mantegna Tarot,Frank,"Tarot, Psychology, Self Help, New Age, Spirituality, Dogs, Personal Development","4,71"
You Wont Know Her Name,Shanti Hershenson,Poetry,"4,37"
A List of Cages,Robin Roe,"Contemporary, Young Adult, Fiction, Mental Health, Realistic Fiction, Young Adult Contemporary, Abuse","4,26"
Five Weeks in a Balloon,Jules Verne,"Classics, Fiction, Adventure, Science Fiction, France, Fantasy, Novels","3,76"
The Magic of Ordinary Days,Ann Howard Creel,"Historical Fiction, Fiction, Romance, Historical, World War II, Adult Fiction, Adult","3,9"
I am an Island,Jonathan Culver,"Mystery Thriller, Fiction","3,75"
Secrets of Jewish Wealth Revealed!,Celso Cukierkorn,"Money, Finance, Jewish, Nonfiction","4,18"
Society for Supper,TyCobbsTeeth,"Horror, Science Fiction, Fiction","4,58"
How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger,"Health, Nonfiction, Nutrition, Science, Food, Self Help, Vegan","4,45"
Reimagined: How amazing people design lives they love,Ian Breck,"Nonfiction, Self Help, Psychology, Personal Development","4,07"
"Forgive Me, Alex",Lane Diamond,"Mystery, Suspense, Crime, Thriller, Mystery Thriller","3,95"
Instruction Manual for the 21st Century Samurai,Alexei Maxim Russell,"Japan, Philosophy, Novels, Self Help, Martial Arts, Spirituality, Manga","3,87"
Disclaimer,Renée Knight,"Thriller, Fiction, Mystery, Mystery Thriller, Suspense, Crime, Psychological Thriller","3,6"
Savage Inequalities: Children in Americas Schools,Jonathan Kozol,"Education, Nonfiction, Sociology, Social Justice, Teaching, Politics, Race","4,26"
"At Roads End (Pre-Aztec series, Prequel)",Zoe Saadia,"Historical Fiction, Historical, Fiction, Romance, Historical Romance, Ancient","3,85"
Huey Lamberts Walking Nuclear Circus,Jonathan Culver,Fiction,"3,45"
Nightwatching,John Zunski,Horror,"3,62"
Medea and Other Plays,Euripides,"Classics, Plays, Drama, Mythology, Fiction, Literature, Theatre","4,01"
Sometimes I Lie,Alice Feeney,"Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Suspense, Psychological Thriller","3,8"
Little Guide to Unhip,K.J. Rigby,Humor,4
Discipline and Punish: The Birth of the Prison,Michel Foucault,"Philosophy, History, Sociology, Nonfiction, Psychology, France, Academic","4,23"
Blubber,Judy Blume,"Fiction, Young Adult, Childrens, Middle Grade, Realistic Fiction, Classics, Banned Books","3,79"
Trueman Bradley - Aspie Detective,Alexei Maxim Russell,"Mystery, Autistic Spectrum Disorder","4,24"
Binding Chaos: Mass Collaboration on a Global Scale,Heather  Marsh,"Nonfiction, Politics, Philosophy","4,45"
Maybe You Should Talk to Someone,Lori Gottlieb,"Nonfiction, Psychology, Memoir, Self Help, Mental Health, Audiobook, Biography","4,38"
Shangri-La Trailer Park,John Zunski,"Fiction, Humor","3,77"
Hellucination,Stephen Biro,"Horror, Religion, Fiction, Spirituality, Science Fiction, Bizarro Fiction","3,57"
After Forever Ends,Melodie Ramone,"Romance, Contemporary, Fiction, Fantasy, Chick Lit, Coming Of Age, Literary Fiction","4,04"
The First Phone Call from Heaven,Mitch Albom,"Fiction, Inspirational, Contemporary, Mystery, Adult Fiction, Adult, Christian","3,77"
Ugly Love,Colleen Hoover,"Romance, Contemporary, New Adult, Fiction, Contemporary Romance, Adult, Audiobook","4,13"
What I Talk About When I Talk About Running,Haruki Murakami,"Nonfiction, Memoir, Biography, Japan, Sports, Audiobook, Japanese Literature","3,87"
"Choosing Light: When an Earthquake Buried Me and My Family for 5 Days, I Learned to Fully Live",Viral Dalal,"Nonfiction, Memoir, India, Autobiography, Biography Memoir, Biography, Adventure","3,7"
"Rich Man, Poor Man",Irwin Shaw,"Fiction, Classics, Historical Fiction, Drama, Novels, American, Contemporary","4,18"
The Singularity is Coming: The Artificial Intelligence Explosion,Tony  Thorne,"Artificial Intelligence, Science, Nonfiction, Technology, Futurism","4,3"
What You Did,Claire McGowan,"Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Crime, Audiobook","3,94"
Know My Name,Chanel Miller,"Nonfiction, Memoir, Feminism, Audiobook, Biography, True Crime, Biography Memoir","4,72"
Dialogue With the Devil,Stephen Biro,Religion,"3,63"
Unexpected Metamorphosis (Alissia Roswell:  Book One),Tianna Holley,"Fantasy, Paranormal, Romance, Fiction, Young Adult Fantasy","4,01"
Okay for Now,Gary D. Schmidt,"Young Adult, Historical Fiction, Fiction, Realistic Fiction, Middle Grade, Coming Of Age, Historical","4,23"
Il cavaliere inesistente,Italo Calvino,"Fiction, Classics, Italian Literature, Fantasy, Italy, Novels, Literature","3,84"
Suicide Notes,Michael Thomas Ford,"Young Adult, Mental Health, Contemporary, LGBT, Fiction, Mental Illness, Realistic Fiction","3,83"
On the Jellicoe Road,Melina Marchetta,"Young Adult, Contemporary, Fiction, Mystery, Romance, Realistic Fiction, Australia","4,12"
The Sabi,Diane  Brown,"Africa, African Literature, Biography, Biography Memoir, Autobiography","3,57"
With Angels Wings,Stephanie A. Collins,"Memoir, Medical, Nonfiction, True Story","4,42"
Louder Than a Whisper: Clearer Than a Bell,Renée Paule,"Self Help, Nonfiction, Philosophy, Inspirational","4,65"
Mindfulness Living in the Moment - Living in the Breath,Amit Ray,"Spirituality, Inspirational, Self Help, Psychology, Philosophy, Nonfiction","4,64"
The Interesting Narrative of the Life of Olaudah Equiano,Olaudah Equiano,"History, Nonfiction, Classics, Biography, Memoir, Autobiography, Africa","3,74"
Hannahs Voice,Robb Grindstaff,Literary Fiction,"3,94"
The Mind Shaman,Luca Bosurgi,"Fiction, Spirituality","3,37"
Invitation to a Beheading,Vladimir Nabokov,"Fiction, Classics, Russia, Russian Literature, Literature, Dystopia, 20th Century","3,92"
Decisive: How to Make Better Choices in Life and Work,Chip Heath,"Business, Nonfiction, Psychology, Self Help, Leadership, Personal Development, Productivity","3,96"
Jackdaws,Ken Follett,"Historical Fiction, Fiction, Thriller, Historical, War, World War II, Espionage","4,04"
An Ideal Husband,Oscar Wilde,"Classics, Plays, Fiction, Drama, Humor, 19th Century, Theatre","4,01"
Chasing the Scream: The First and Last Days of the War on Drugs,Johann Hari,"Nonfiction, History, Politics, Psychology, Science, Sociology, Health","4,5"
"Life Strategies: Doing What Works, Doing What Matters",Phillip C. McGraw,"Self Help, Nonfiction, Psychology, Personal Development, Inspirational, Productivity, Health","3,62"
In the Grip of Grace: You Cant Fall Beyond His Love,Max Lucado,"Christian, Nonfiction, Christianity, Faith, Religion, Christian Living, Spirituality","4,27"
The Book,M. Clifford,"Fiction, Dystopia, Science Fiction, Mystery, Books About Books, Fantasy, American","3,65"
Saving CeeCee Honeycutt,Beth Hoffman,"Fiction, Historical Fiction, Chick Lit, Southern, Coming Of Age, Adult Fiction, Audiobook","3,95"
Ghost Story,Peter Straub,"Horror, Fiction, Paranormal, Ghosts, Mystery, Thriller, Fantasy","3,94"
The New American Bible,Anonymous,"Religion, Reference, Catholic, Nonfiction, Christianity, Classics, Faith","4,53"
EVO,Diane  May,"Thriller, Mystery, Crime, Suspense, Detective, Fiction, Italy","4,03"
Mindfulness: An Eight-Week Plan for Finding Peace in a Frantic World,J. Mark G. Williams,"Nonfiction, Self Help, Psychology, Spirituality, Personal Development, Health, Philosophy","3,99"
"Present Over Perfect: Leaving Behind Frantic for a Simpler, More Soulful Way of Living",Shauna Niequist,"Nonfiction, Self Help, Christian, Faith, Audiobook, Memoir, Personal Development","3,83"
The Signature of All Things,Elizabeth Gilbert,"Fiction, Historical Fiction, Historical, Audiobook, Nature, Literary Fiction, Adult Fiction","3,86"
Designing Your Life: Build a Life that Works for You,Bill Burnett,"Nonfiction, Self Help, Personal Development, Business, Design, Psychology, Productivity","3,9"
Nights in Rodanthe,Nicholas Sparks,"Romance, Fiction, Chick Lit, Contemporary, Adult, Adult Fiction, Contemporary Romance","3,84"
Cranford,Elizabeth Gaskell,"Classics, Fiction, Historical Fiction, 19th Century, Victorian, British Literature, Audiobook","3,84"
Malgudi Days,R.K. Narayan,"Fiction, Short Stories, India, Classics, Indian Literature, Literature, Asia","4,21"
The Particular Sadness of Lemon Cake,Aimee Bender,"Fiction, Magical Realism, Fantasy, Contemporary, Food, Adult Fiction, Adult","3,24"
The Caucasian Chalk Circle,Bertolt Brecht,"Plays, Drama, Classics, Theatre, German Literature, Fiction, Literature","3,75"
The Best of H.P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre,H.P. Lovecraft,"Horror, Fiction, Short Stories, Classics, Fantasy, Science Fiction, Anthologies","4,3"
The Nix,Nathan  Hill,"Fiction, Historical Fiction, Audiobook, Literary Fiction, Contemporary, Novels, Historical","4,07"
In Search of Captain Zero: A Surfers Road Trip Beyond the End of the Road,Allan C. Weisbecker,"Nonfiction, Travel, Adventure, Memoir, Sports, Biography, Biography Memoir","4,11"
Little Princes: One Mans Promise to Bring Home the Lost Children of Nepal,Conor Grennan,"Nonfiction, Memoir, Travel, Biography, Asia, Biography Memoir, Audiobook","4,25"
Proof of Heaven: A Neurosurgeons Journey into the Afterlife,Eben Alexander,"Nonfiction, Spirituality, Religion, Memoir, Biography, Christian, Science","3,72"
Thinner,Richard Bachman,"Horror, Fiction, Thriller, Fantasy, Supernatural, Paranormal, Suspense","3,76"
Give and Take: A Revolutionary Approach to Success,Adam M. Grant,"Business, Nonfiction, Psychology, Self Help, Leadership, Personal Development, Management","4,07"
The Poetic Edda: Stories of the Norse Gods and Heroes,Anonymous,"Poetry, Mythology, Classics, History, Medieval, Religion, Nonfiction","4,26"
Fatal Vision,Joe McGinniss,"True Crime, Nonfiction, Crime, Mystery, Biography, History, Thriller","4,12"
Lamico ritrovato,Fred Uhlman,"Classics, Fiction, Historical Fiction, Historical, Germany, Novels, German Literature","4,03"
The Sun Is Also a Star,Nicola Yoon,"Young Adult, Romance, Contemporary, Fiction, Audiobook, Realistic Fiction, Young Adult Contemporary","3,99"
Barabbas,Par Lagerkvist,"Fiction, Historical Fiction, Classics, Religion, Literature, Nobel Prize, Swedish Literature","3,85"
Silk,Alessandro Baricco,"Fiction, Historical Fiction, Italian Literature, Romance, Japan, Italy, Historical","3,85"
This Perfect Day,Ira Levin,"Science Fiction, Dystopia, Fiction, Horror, Classics, Science Fiction Fantasy, Novels","4,01"
Liberators: Super Indy,Alex Letner,Fiction,"4,69"
The Little Book of Talent: 52 Tips for Improving Your Skills,Daniel Coyle,"Nonfiction, Self Help, Psychology, Personal Development, Business, Productivity, Education","4,01"
Passionate Declarations: Essays on War and Justice,Howard Zinn,"History, Politics, Nonfiction, Philosophy, Essays, Political Science, United States","4,35"
Maniac Magee,Jerry Spinelli,"Young Adult, Fiction, Childrens, Middle Grade, Realistic Fiction, School, Classics","3,89"
Esperanza Rising,Pam Muñoz Ryan,"Historical Fiction, Young Adult, Middle Grade, Fiction, Childrens, Realistic Fiction, Historical","4,03"
Lady Windermeres Fan,Oscar Wilde,"Classics, Plays, Fiction, Drama, Theatre, 19th Century, Humor","3,91"
Too Loud a Solitude,Bohumil Hrabal,"Fiction, Czech Literature, Classics, Novels, Literature, Books About Books, Novella",4
Sonnets from the Portuguese,Elizabeth Barrett Browning,"Poetry, Classics, Romance, 19th Century, Victorian, British Literature, Literature","4,12"
Stolen Lives: Twenty Years in a Desert Jail,Malika Oufkir,"Nonfiction, Memoir, Biography, History, Africa, Morocco, Biography Memoir","4,1"
The Krishna Key,Ashwin Sanghi,"Fiction, Thriller, Mythology, Indian Literature, Historical Fiction, Mystery, Fantasy","3,59"
Private Peaceful,Michael Morpurgo,"Historical Fiction, Fiction, Young Adult, War, Novels, Historical, Childrens","4,16"
My Grandmother Asked Me to Tell You Shes Sorry,Fredrik Backman,"Fiction, Contemporary, Fantasy, Audiobook, Humor, Adult, Adult Fiction","4,08"
Assuming Names: A Con Artists Masquerade,Tanya Thompson,"Crime, Thriller, Memoir, Humor, Biography, Nonfiction, True Crime","3,66"
The Procrastination Equation: How to Stop Putting Things Off and Start Getting Stuff Done,Piers Steel,"Self Help, Nonfiction, Psychology, Productivity, Personal Development, Business, Science","3,69"
The Power Of Less: The Fine Art of Limiting Yourself to the Essential,Leo Babauta,"Nonfiction, Self Help, Productivity, Business, Personal Development, Psychology, Philosophy","3,74"
Arminius and Thusnelda Versus Rome,Michael G. Kramer,"Historical Fiction, Fiction, Drama, Contemporary, Novels, Epic, Mythology","4,34"
Tippy the Knight,Julie Mannino,"Fantasy, M M Romance","4,46"
The Compleat Works of Wllm Shkspr,Adam Long,"Plays, Classics, Humor, Fiction, Drama, Theatre, Comedy","4,46"
Farewell to Manzanar: A True Story of Japanese American Experience During and After the World War II Internment,Jeanne Wakatsuki Houston,"Nonfiction, History, Memoir, Biography, School, Historical, World War II","3,68"
"Journey of Souls: Case Studies of Life Between Lives, Fifth Revised Edition",Michael   Newton,"Spirituality, Nonfiction, Psychology, Self Help, Philosophy, New Age, Religion","4,3"
Across the Ocean,Hawa L Crickmore,"Suspense, Thriller, New Adult, Mystery, 21st Century, Drama, Modern","4,15"
Ocean Sea,Alessandro Baricco,"Fiction, Italian Literature, Contemporary, Italy, Magical Realism, Novels, Literature","4,09"
Soft,Rupert Thomson,"Fiction, Novels, Mystery, Suspense, Adult Fiction, British Literature, Contemporary","3,44"
How to Be Yourself: Quiet Your Inner Critic and Rise Above Social Anxiety,Ellen Hendriksen,"Self Help, Nonfiction, Psychology, Mental Health, Personal Development, Audiobook, Health","4,13"
Notes on a Nervous Planet,Matt Haig,"Nonfiction, Self Help, Mental Health, Psychology, Audiobook, Memoir, Philosophy","3,98"
Unaccustomed Earth,Jhumpa Lahiri,"Fiction, Short Stories, India, Contemporary, Literary Fiction, Literature, Indian Literature","4,12"
The Elf Queen of Shannara,Terry Brooks,"Fantasy, Fiction, Epic Fantasy, Science Fiction Fantasy, High Fantasy, Adventure, Magic","4,05"
Anathem,Neal Stephenson,"Science Fiction, Fiction, Fantasy, Philosophy, Science Fiction Fantasy, Speculative Fiction, Audiobook","4,17"
"Fear and Loathing in America: The Brutal Odyssey of an Outlaw Journalist, 1968-1976",Hunter S. Thompson,"Nonfiction, Journalism, Biography, Politics, Memoir, History, Essays","4,09"
The Devil and Miss Prym,Paulo Coelho,"Fiction, Philosophy, Novels, Contemporary, Spirituality, Fantasy, Magical Realism","3,61"
Angels and Arrows,Reyna Hawk,Fantasy,"4,34"
"Slapstick, or Lonesome No More!",Kurt Vonnegut Jr.,"Fiction, Science Fiction, Classics, Humor, Literature, Novels, American","3,86"
Lorna Doone,R.D. Blackmore,"Classics, Fiction, Historical Fiction, Romance, Historical, 19th Century, Literature","3,73"
The Myth of Sisyphus,Albert Camus,"Philosophy, Nonfiction, Classics, France, Essays, French Literature, Literature","4,18"
Successful Freelancing And Outsourcing: A Guide To Make Money Online And Increase Business Profit,Maria Johnsen,Business,"4,75"
The Raw Shark Texts,Steven  Hall,"Fiction, Fantasy, Science Fiction, Mystery, Thriller, Horror, Novels","3,82"
The Quirky Tale of April Hale,Cathy Octo,"Romance, Contemporary, Young Adult, High School, Humor, Fiction, Contemporary Romance","4,09"
The Tattooist of Auschwitz,Heather   Morris,"Historical Fiction, Fiction, Historical, Audiobook, World War II, Holocaust, Romance","4,29"
Norse Mythology,Neil Gaiman,"Fantasy, Mythology, Fiction, Audiobook, Short Stories, Historical Fiction, Classics","4,1"
The Transhumanism Handbook,Newton Lee,"Nonfiction, Philosophy, How To, Science, Book Club","4,26"
The Caine Mutiny,Herman Wouk,"Fiction, Historical Fiction, Classics, War, World War II, Military Fiction, Literature","4,27"
